date_time_IST,x_axis,y_axis,z_axis,x_gyro,y_gyro,z_gyro,acc,gyro
2022-09-18 21:42:55,0.89255,-0.08296,1.84171,-0.00977,0,0.00733,2.048273319,2.048286434
2022-09-18 21:42:56,0.87889,-0.0771,1.85245,-0.00855,0.00122,0.00611,2.051819447,2.051828907
2022-09-18 21:39:38,0.89402,-0.08003,1.85147,-0.00733,-0.00122,0.00611,2.057575691,2.057585124
2022-09-18 21:39:39,0.88718,-0.07515,1.84903,-0.00977,0.00122,0.00733,2.052229962,2.052243415
2022-09-18 21:39:41,0.89255,-0.08101,1.85147,-0.00977,0,0.00733,2.056975762,2.056988822
2022-09-18 21:39:42,0.89304,-0.08003,1.84318,-0.00855,0,0.00611,2.049692112,2.049701219
2022-09-18 21:39:47,0.89304,-0.08394,1.8422,-0.00855,0.00367,0.00733,2.048967351,2.048983749
2022-09-18 21:39:48,0.88377,-0.0771,1.84952,-0.00977,0.00122,0.00977,2.051272301,2.051295931
2022-09-18 21:39:55,0.89548,-0.08833,1.85147,-0.011,-0.00122,0.00611,2.058549922,2.058559351
2022-09-18 21:39:59,0.90182,-0.09126,1.83195,-0.00733,0,0.00489,2.043929672,2.043935521
2022-09-18 21:40:03,0.89304,-0.07564,1.84708,-0.00977,0.00122,0.00489,2.053033457,2.053039644
2022-09-18 21:40:06,0.88914,-0.09028,1.84122,-0.00977,0.00122,0.00733,2.04665862,2.046672109
2022-09-18 21:40:11,0.89304,-0.0815,1.84318,-0.00733,0.00122,0.00611,2.049750035,2.049759504
2022-09-18 21:40:19,0.88914,-0.08784,1.84025,-0.00855,-0.00122,0.00733,2.045679806,2.045693302
2022-09-18 21:40:20,0.89597,-0.08638,1.85538,-0.00977,0.00122,0.00489,2.062197539,2.062203698
2022-09-18 21:40:29,0.89011,-0.07564,1.83342,-0.00855,0.00122,0.00611,2.039472019,2.039481537
2022-09-18 21:40:32,0.89597,-0.07125,1.83976,-0.00855,0.00122,0.00611,2.047573115,2.047582595
2022-09-18 21:40:34,0.87938,-0.06393,1.82805,-0.00977,0,0.00489,2.02957213,2.029578021
2022-09-18 21:40:37,0.89499,-0.0771,1.83683,-0.00733,0,0.00611,2.044723932,2.044733061
2022-09-18 21:35:00,0.88621,-0.08247,1.83586,-0.00855,0.00122,0.00489,2.040233174,2.040239399
2022-09-18 21:35:01,0.88816,-0.08784,1.85391,-0.00855,0.00122,0.00733,2.057553484,2.057566902
2022-09-18 21:35:04,0.89548,-0.0893,1.84415,-0.00977,0,0.00733,2.052010756,2.052023848
2022-09-18 21:35:05,0.8945,-0.08735,1.83146,-0.00977,0.00367,0.00733,2.040099508,2.040115978
2022-09-18 21:35:06,0.89548,-0.07418,1.83586,-0.00977,0,0.00733,2.043959159,2.043972302
2022-09-18 21:35:10,0.88962,-0.0815,1.84659,-0.00855,0.00122,0.00489,2.051331427,2.051337618
2022-09-18 21:35:11,0.89499,-0.07564,1.84708,-0.011,0,0.00611,2.05388243,2.053891518
2022-09-18 21:35:15,0.89841,-0.0854,1.84074,-0.00977,0.00122,0.00855,2.050062788,2.05008098
2022-09-18 21:35:16,0.89255,-0.07662,1.85196,-0.00855,0.00122,0.00733,2.05724864,2.057262061
2022-09-18 21:35:17,0.8945,-0.08394,1.83634,-0.00977,0,0.00733,2.044338712,2.044351853
2022-09-18 21:35:20,0.88474,-0.08491,1.84074,-0.00977,0,0.00489,2.044088629,2.044094478
2022-09-18 21:35:22,0.88767,-0.08638,1.84464,-0.00977,0,0.00733,2.048930517,2.048943628
2022-09-18 21:35:26,0.88962,-0.08735,1.83439,-0.00977,0,0.00611,2.040598059,2.040607206
2022-09-18 21:35:29,0.8989,-0.08394,1.84122,-0.00977,0.00122,0.00733,2.050648244,2.050661708
2022-09-18 21:35:32,0.88426,-0.0854,1.85001,-0.00855,0,0.00733,2.05225386,2.052266951
2022-09-18 21:35:35,0.8945,-0.08198,1.83781,-0.00855,0.00122,0.00855,2.045579763,2.045597995
2022-09-18 21:35:36,0.89255,-0.08247,1.83976,-0.00855,0.00122,0.00489,2.046500345,2.046506551
2022-09-18 21:35:38,0.89743,-0.08101,1.84708,-0.00977,0.00122,0.00733,2.055151515,2.055164949
2022-09-18 21:35:40,0.89743,-0.08686,1.84025,-0.00855,0,0.00489,2.049254822,2.049260657
2022-09-18 21:35:43,0.89548,-0.08247,1.84806,-0.00977,0.00122,0.00733,2.055240009,2.055253442
2022-09-18 21:35:45,0.89548,-0.07954,1.8461,-0.00977,0,0.00855,2.053362182,2.053379983
2022-09-18 21:35:48,0.8906,-0.08589,1.8422,-0.00855,0,0.00611,2.047985911,2.047995025
2022-09-18 21:35:51,0.89743,-0.07954,1.84318,-0.00977,0.00122,0.00611,2.051589562,2.051599023
2022-09-18 21:35:54,0.89743,-0.08052,1.84513,-0.00977,0.00122,0.00611,2.053379846,2.053389299
2022-09-18 21:35:56,0.88865,-0.08198,1.84318,-0.00977,0.00122,0.00733,2.04786036,2.047873842
2022-09-18 21:29:08,0.88084,-0.08491,1.8461,-0.00855,0.00244,0.00733,2.047235703,2.047250279
2022-09-18 21:29:10,0.88572,-0.0937,1.8461,-0.00733,0.00122,0.00855,2.049723108,2.049741303
2022-09-18 21:29:12,0.88084,-0.0815,1.8461,-0.00977,0.00489,0.00855,2.047097107,2.047120803
2022-09-18 21:29:13,0.89694,-0.08198,1.84415,-0.00977,0,0.00733,2.052342882,2.052355972
2022-09-18 21:29:15,0.89158,-0.07906,1.8422,-0.011,0,0.00611,2.048137256,2.04814637
2022-09-18 21:29:18,0.90719,-0.07076,1.82854,-0.00977,0.00122,0.00733,2.042439523,2.04245304
2022-09-18 21:29:19,0.89499,-0.07662,1.84806,-0.00855,0.00122,0.00855,2.054800109,2.054818259
2022-09-18 21:29:21,0.88621,-0.07662,1.84757,-0.00977,0,0.00611,2.050549608,2.050558711
2022-09-18 21:29:23,0.90134,-0.07857,1.84366,-0.00977,0,0.00611,2.053696481,2.05370557
2022-09-18 21:29:24,0.88523,-0.08442,1.85586,-0.00855,0,0.00611,2.057905544,2.057914615
2022-09-18 21:29:26,0.89304,-0.07662,1.84806,-0.00855,0.00122,0.00733,2.053951516,2.053964958
2022-09-18 21:29:29,0.88279,-0.0893,1.84513,-0.00977,0.00122,0.00611,2.047387943,2.047397424
2022-09-18 21:29:30,0.89011,-0.0854,1.83878,-0.00733,0.00244,0.00733,2.044676224,2.044690818
2022-09-18 21:29:32,0.88133,-0.08735,1.84464,-0.00977,0.00244,0.00611,2.046232959,2.046243536
2022-09-18 21:29:33,0.89304,-0.08052,1.83927,-0.00977,0,0.00733,2.046195994,2.046209123
2022-09-18 21:29:34,0.89938,-0.07759,1.84171,-0.00855,0,0.00855,2.05104859,2.05106641
2022-09-18 21:29:36,0.89011,-0.08003,1.83342,-0.00977,0.00244,0.00733,2.039639554,2.039654184
2022-09-18 21:29:37,0.89694,-0.07857,1.84269,-0.00977,0,0.00489,2.050897619,2.050903449
2022-09-18 21:29:38,0.89841,-0.08101,1.83342,-0.00977,-0.00122,0.00611,2.043313986,2.043323485
2022-09-18 21:29:39,0.88865,-0.07857,1.84366,-0.00977,0,0.00733,2.048158749,2.048171866
2022-09-18 21:29:41,0.88718,-0.09223,1.83732,-0.011,0.00122,0.00611,2.042385739,2.042395243
2022-09-18 21:29:43,0.89499,-0.07954,1.8422,-0.00855,0.00367,0.00733,2.049642542,2.049658935
2022-09-18 21:29:47,0.88914,-0.08638,1.84415,-0.00977,0.00122,0.00733,2.049126806,2.049140279
2022-09-18 21:29:50,0.90036,-0.08491,1.83195,-0.00977,0.00244,0.00733,2.043012149,2.043026755
2022-09-18 21:29:51,0.89011,-0.07564,1.84513,-0.011,0.00122,0.00733,2.050005351,2.050018818
2022-09-18 21:29:54,0.89158,-0.08247,1.83342,-0.00855,0.00367,0.00855,2.040378664,2.040399879
2022-09-18 21:29:56,0.88133,-0.08638,1.84659,-0.00855,0.00122,0.00611,2.047949878,2.047959356
2022-09-18 21:29:59,0.89402,-0.0815,1.84269,-0.00855,0.00122,0.00611,2.049736677,2.049746147
2022-09-18 21:27:57,0.89402,-0.07515,1.84171,-0.00855,-0.00122,0.00611,2.048612947,2.048622422
2022-09-18 21:27:59,0.89255,-0.07222,1.83781,-0.00855,-0.00122,0.00855,2.04435976,2.044378003
2022-09-18 21:28:08,0.89499,-0.08247,1.84513,-0.00977,0.00122,0.00733,2.052392048,2.0524055
2022-09-18 21:28:15,0.88328,-0.09077,1.84318,-0.00977,0,0.00611,2.045906954,2.045916077
2022-09-18 21:28:16,0.89353,-0.08101,1.84415,-0.011,0,0.00733,2.050816351,2.05082945
2022-09-18 21:28:18,0.90085,-0.07759,1.83537,-0.00855,0.00122,0.00855,2.046004391,2.046022619
2022-09-18 21:28:20,0.88962,-0.08882,1.84122,-0.00733,0.00122,0.00855,2.046803319,2.04682154
2022-09-18 21:28:21,0.89304,-0.08003,1.84513,-0.00977,0,0.00733,2.051445822,2.051458917
2022-09-18 21:28:23,0.89353,-0.07222,1.84513,-0.00977,0.00244,0.00611,2.051369373,2.051379924
2022-09-18 21:28:24,0.8823,-0.08442,1.84074,-0.00977,-0.00244,0.00611,2.043013405,2.043023999
2022-09-18 21:28:29,0.88816,-0.08686,1.8422,-0.00855,0.00244,0.00611,2.046966948,2.046977521
2022-09-18 21:28:30,0.89109,-0.08198,1.84415,-0.011,0.00244,0.00733,2.049792997,2.049807555
2022-09-18 21:28:35,0.89402,-0.08345,1.8461,-0.00977,0.00122,0.00611,2.052881115,2.05289057
2022-09-18 21:28:42,0.9028,-0.08345,1.84562,-0.00855,0,0.00733,2.056289116,2.05630218
2022-09-18 21:28:47,0.89353,-0.08247,1.83927,-0.00977,0.00122,0.00733,2.046487551,2.046501041
2022-09-18 21:28:53,0.88816,-0.08638,1.84171,-0.00855,0,0.00855,2.046505659,2.04652352
2022-09-18 21:28:54,0.89694,-0.07857,1.84171,-0.00977,0,0.00489,2.050017154,2.050022986
2022-09-18 21:28:55,0.89646,-0.07515,1.83732,-0.00733,0.00367,0.00855,2.04573528,2.045756439
2022-09-18 21:28:57,0.8823,-0.08589,1.85245,-0.00855,0.00122,0.00489,2.053631268,2.053637452
2022-09-18 21:25:37,0.89353,-0.08394,1.84903,-0.01222,0,0.00855,2.055323265,2.055341049
2022-09-18 21:25:41,0.89597,-0.08394,1.83732,-0.00977,0.00122,0.00733,2.045862397,2.045875892
2022-09-18 21:25:42,0.89206,-0.07906,1.83878,-0.00977,0.00244,0.00855,2.045270988,2.045290315
2022-09-18 21:25:57,0.88718,-0.0771,1.83683,-0.00977,-0.00122,0.00733,2.041317518,2.041331043
2022-09-18 21:25:58,0.88962,-0.07954,1.84122,-0.00977,0,0.00733,2.046421619,2.046434747
2022-09-18 21:25:59,0.89841,-0.0771,1.84366,-0.00855,0.00122,0.00733,2.052356483,2.052369935
2022-09-18 21:26:00,0.90573,-0.08198,1.84269,-0.00855,0,0.00611,2.054890262,2.054899346
2022-09-18 21:26:01,0.90085,-0.0815,1.84025,-0.00977,0,0.00611,2.050534817,2.05054392
2022-09-18 21:26:02,0.89548,-0.07174,1.84318,-0.00855,0.00122,0.00733,2.050449602,2.050463067
2022-09-18 21:26:08,0.88816,-0.08198,1.83927,-0.00977,0.00367,0.00489,2.044128919,2.044138063
2022-09-18 21:26:11,0.88718,-0.07808,1.83439,-0.00855,0.00122,0.00611,2.039159511,2.03916903
2022-09-18 21:26:12,0.88767,-0.08198,1.84708,-0.00977,0,0.00855,2.050946922,2.050964743
2022-09-18 21:26:14,0.88621,-0.07369,1.83683,-0.00855,-0.00244,0.00733,2.040770156,2.040784778
2022-09-18 21:26:20,0.88133,-0.0854,1.83732,-0.00977,0.00367,0.00611,2.039553998,2.039566452
2022-09-18 21:26:22,0.89402,-0.08491,1.83878,-0.00977,0.00122,0.00611,2.046361004,2.046370489
2022-09-18 21:26:25,0.88523,-0.08589,1.83976,-0.00977,0.00122,0.00733,2.043459347,2.043472858
2022-09-18 21:26:28,0.88474,-0.07808,1.85245,-0.00855,0.00122,0.00733,2.05436909,2.054382529
2022-09-18 21:26:29,0.89011,-0.08394,1.84074,-0.01222,0,0.00733,2.046378627,2.046391754
2022-09-18 21:26:30,0.88621,-0.08589,1.83439,-0.00977,-0.00244,0.00611,2.039051723,2.039062337
2022-09-18 21:26:31,0.89597,-0.08979,1.84562,-0.00611,0.00611,0.00855,2.05356706,2.053593948
2022-09-18 21:26:35,0.89158,-0.07808,1.84366,-0.00855,0.00122,0.00733,2.049412984,2.049426455
